City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
97,kavieng,-2.5744,150.7967,302.28,67,99,5.67,PG
98,labuhan,-6.8844,112.2051,298.04,87,100,3.12,ID
99,sovetskaya gavan,48.9723,140.2878,255.69,97,99,1.72,RU
100,vostok,46.4856,135.8833,250.83,97,100,2.87,RU
101,alta floresta,-9.8756,-56.0861,297.38,92,14,0.85,BR
102,port alfred,-33.5906,26.891,293.25,89,27,1.34,ZA
103,kirakira,-10.4544,161.9205,302.14,74,37,2.12,SB
104,atar,20.5169,-13.0499,294.56,12,100,2.25,MR
105,tasiilaq,65.6145,-37.6368,265.24,77,100,13.4,GL
106,jacareacanga,-6.2222,-57.7528,297.84,93,99,0.97,BR
107,boden,65.8252,21.6886,268.15,96,100,2.05,SE
108,nouadhibou,20.931,-17.0347,290.06,76,100,9.27,MR
109,luderitz,-26.6481,15.1594,291.54,74,0,8.67,NA
110,new norfolk,-42.7826,147.0587,286.42,53,100,0.45,AU
111,posevnaya,54.3006,83.3297,252.6,100,45,1.82,RU
112,bengkulu,-3.8004,102.2655,296.86,89,100,2.33,ID
113,provideniya,64.3833,-173.3,269.21,93,75,5.0,RU
114,castro,-24.7911,-50.0119,291.2,96,100,1.14,BR
115,comodoro rivadavia,-45.8667,-67.5,293.88,53,0,4.63,AR
116,atambua,-9.1061,124.8925,296.92,90,100,0.19,ID
117,xuddur,4.1213,43.8894,298.08,31,57,4.54,SO
118,sao geraldo do araguaia,-6.4006,-48.555,296.37,96,100,1.41,BR
119,clyde river,70.4692,-68.5914,237.75,84,16,1.46,CA
120,pisco,-13.7,-76.2167,299.18,73,0,9.77,PE
121,vesoul,47.5833,5.8333,278.6,83,100,4.48,FR
122,jishu,44.3167,126.8,254.2,100,91,2.9,CN
123,nhulunbuy,-12.2333,136.7667,301.49,83,100,3.09,AU
124,kaitangata,-46.2817,169.8464,295.59,71,57,0.87,NZ
125,atuona,-9.8,-139.0333,299.21,75,76,7.84,PF
126,bafoulabe,13.8065,-10.8321,301.31,12,74,2.09,ML
127,vestmannaeyjar,63.4427,-20.2734,275.09,69,99,10.09,IS
128,plettenberg bay,-34.0527,23.3716,291.42,82,1,1.83,ZA
129,rajanpur,29.1035,70.325,287.36,32,0,1.88,PK
130,arica,-18.475,-70.3042,300.9,61,0,5.14,CL
131,mormugao,15.4,73.8,297.37,52,45,2.64,IN
132,kawalu,-7.3817,108.2082,295.56,92,100,1.01,ID
133,rolante,-29.6506,-50.5758,301.85,71,26,2.48,BR
134,saskylakh,71.9167,114.0833,248.85,98,100,4.39,RU
135,cabo san lucas,22.8909,-109.9124,295.32,52,75,5.14,MX
136,nantucket,41.2835,-70.0995,272.23,68,40,2.57,US
137,victoria,22.2855,114.1577,293.68,86,5,0.45,HK
138,ouro fino,-22.2831,-46.3692,292.33,97,100,1.82,BR
139,varzea grande,-15.6467,-56.1325,300.08,83,75,1.54,BR
140,ponta do sol,32.6667,-17.1,290.5,51,75,4.59,PT
141,college,64.8569,-147.8028,262.48,85,100,1.54,US
142,luza,60.6308,47.2512,269.08,96,100,2.48,RU
143,thinadhoo,0.5333,72.9333,300.19,75,14,6.43,MV
144,pangnirtung,66.1451,-65.7125,243.65,76,99,0.85,CA
145,bredasdorp,-34.5322,20.0403,292.94,73,100,2.5,ZA
146,north platte,41.1239,-100.7654,273.77,62,0,4.12,US
147,charters towers,-20.1,146.2667,301.16,61,77,4.51,AU
148,sitka,57.0531,-135.33,280.09,61,100,4.63,US
149,mar del plata,-38.0023,-57.5575,294.79,77,100,3.58,AR
150,imeni poliny osipenko,52.4201,136.4853,235.71,100,49,0.33,RU
151,katav-ivanovsk,54.7531,58.1956,257.15,94,16,1.88,RU
152,gasa,31.5,34.4667,283.08,49,87,13.02,PS
153,lincoln,40.8,-96.667,277.35,65,0,5.14,US
154,otavi,-19.65,17.3333,291.24,90,100,1.86,NA
155,vilyuysk,63.7553,121.6247,249.88,98,100,2.04,RU
156,bambous virieux,-20.3428,57.7575,297.16,84,24,5.15,MU
157,mahebourg,-20.4081,57.7,297.18,83,22,5.15,MU
158,san quintin,30.4833,-115.95,287.82,55,1,3.95,MX
159,vila velha,-20.3297,-40.2925,300.12,83,20,6.69,BR
160,vaini,-21.2,-175.2,302.24,79,75,7.72,TO
161,southbridge,42.0751,-72.0334,272.27,47,27,0.45,US
162,marshall,34.3834,-86.3333,281.11,84,100,3.09,US
163,sangmelima,2.9333,11.9833,293.42,85,25,1.49,CM
164,avarua,-21.2078,-159.775,300.18,83,75,4.12,CK
165,palu,-0.8917,119.8707,297.15,96,100,0.95,ID
166,log,49.4844,43.8613,270.53,82,100,3.48,RU
167,komsomolskiy,40.4272,71.7189,273.55,74,100,0.0,UZ
168,rawson,-43.3002,-65.1023,295.05,49,81,9.61,AR
169,huaibei,33.9744,116.7917,271.83,42,92,3.9,CN
